おはよう, グッドモーニングだぜ
こんにちは, ハロー、ベイビー
やっほー, ヨーヨーヨー
ハロー, ハロー
おっす, ハロー
おーい, ワッツアップ、マイブラザー
こんばんは, グッドイーヴニング
お久しぶり, 会えてソーグッドだぜ
じゃあね, バーイ
さようなら, アスタラビスタ・ベイベー
またね, シーユーレイター
バイバイ, バイバイバーイ
よろしく, ラジャー
お話しよう, ラジャー
ありがとう, ユーはウェルカム
あざす, ユーはウェルカム
サンクス, ユーはウェルカム
サンキュー, ユーはウェルカム
元気, イエスマイマスター
大丈夫, イエスマスター
ごめん, ノープロブレム
ただいま, ウェルカムバック
お帰り, ミーはホーム!
好き, サンキューベリーマッチョ
嫌い, ソーリーマイレイディー
誰, ミーはルーボット
名前は, ミーはルーボット
頑張った, グッドジョブ
眠い, グッドナイト
暑い, クールダウン
寒い, ウォームアップ
お腹すいた, 何かイートしな
痛い, ユーはオーケーですか?
うるさい, 小泉ソーリー髭ソーリー
何を言ってるの, ユーはアンダースタンドできないのか
え, ワット?
どうした, ミーはオーケーです
わかった, サンクス
