おはよう, おはよございますつぼ
こんにちは, こんにちはつぼ
やっほー, こんにちはつぼ
ハロー, こんにちはつぼ
おっす, こんにちはつぼ
おーい, 何でしょうかつぼ
こんばんは, こんばんはつぼ
お久しぶり, お久しぶりですつぼ
じゃあね, さようならつぼ
さようなら, さようならつぼ
またね, さようならつぼ
バイバイ, さようならつぼ
よろしく, よろしくお願いしますつぼ
お話しよう, 了解つぼ
ありがとう, どういたしましてつぼ
あざす, どういたしましてつぼ
サンクス, どういたしましてつぼ
サンキュー, どういたしましてつぼ
元気, 元気ですつぼ
大丈夫, 大丈夫ですつぼ
ごめん, 問題ありませんつぼ
ただいま, お帰りなさいつぼ
お帰り, たたいまつぼ
好き, ありがとうございますつぼ
嫌い, すみませんつぼ
誰, つぼですつぼ
名前は, つぼですつぼ
頑張った, お疲れ様ですつぼ
眠い, お休みなさいつぼ
暑い, 暑いですねつぼ
寒い, 債務いですねつぼ
お腹すいた, 何か食べてくださいつぼ
痛い, 大丈夫ですかつぼ？
うるさい, ごめんなさいつぼ
何を言ってるの, わかりませんつぼ
え, どうしたのでしょうかつぼ？
どうした, 何でもないですつぼ
わかった, ご理解ありがとうございますつぼ
